gladiator name,real name,first year,last year
Blaze,Sha-Ri Pendleton,89,92
Bronco,Robert Bruce Campbell,89,90
Gemini,Michael Horton,89,92
Gold,Tonya Knight,89,92
Jade,T.C. Corrin,89,90
Lace,Marisa Pare,89,93
Laser,Jim Starr,89,96
Malibu,Deron McBee,89,90
Nitro,Danny Lee Clark,89,95
Sunny,Cheryl Baldinger,89,90
Titan,David Nelson,89,90
Zap,Raye Hollitt,89,90
Diamond,Erika Andersch,90,93
Ice,Lori Fetrick,90,96
Thunder,Billy Smith,90,92
Turbo,Galen Tomlinson,90,96
Storm,Debbie Clark,91,93
Tower,Steve Henneberry,91,94
Viper,Scott Berlinger,92,93
Zap,Raye Hollitt,91,95
Atlas,Phillip Poteat,92,93
Cyclone,Barry Turner,92,92
Elektra,Salina Bartunek-Andrews,92,94
Havoc,George King,92,93
Sabre,Lynn "Red" Williams,92,96
Siren,Shelley Beattie,92,96
Sky,Shirley Eson Korito,92,96
Dallas,Shannon Hall,93,94
Hawk,Lee Reherman,93,96
Jazz,Victoria Gay,93,96
Rebel,Mark Tucker,93,94
Tank,Ed Radcliffe,93,94
